ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
1,Proxy,Wed Sep 23 23:26:59 EDT 2026,GET,http://192.168.17.129/,200,OK,19,9050,Medium,false,Script
3,Proxy,Wed Sep 23 23:27:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,19,1711,Low,false,JSON
7,Proxy,Wed Sep 23 23:27:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
8,Proxy,Wed Sep 23 23:27:43 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,10,1711,,false,JSON
9,Proxy,Wed Sep 23 23:27:44 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,6,1711,,false,JSON
10,Proxy,Wed Sep 23 23:28:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,11,1711,,false,JSON
11,Proxy,Wed Sep 23 23:28:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,9,1711,,false,JSON
12,Proxy,Wed Sep 23 23:29:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,9,1711,,false,JSON
13,Proxy,Wed Sep 23 23:29:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,16,1711,,false,JSON
14,Proxy,Wed Sep 23 23:30:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
15,Proxy,Wed Sep 23 23:30:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
16,Proxy,Wed Sep 23 23:31:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
17,Proxy,Wed Sep 23 23:31:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,11,1711,,false,JSON
18,Proxy,Wed Sep 23 23:32:00 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
19,Proxy,Wed Sep 23 23:32:30 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
20,Proxy,Wed Sep 23 23:33:01 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,9,1711,,false,JSON
21,Proxy,Wed Sep 23 23:33:31 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,7,1711,,false,JSON
22,Proxy,Wed Sep 23 23:34:01 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,8,1711,,false,JSON
23,Proxy,Wed Sep 23 23:34:31 EDT 2026,GET,http://192.168.17.129/api/alerts/alerts,200,OK,7,1711,,false,JSON
